BNBBUSD,BNBBTC,BNBETH,BTCBUSD,DOGEBUSD,DOGEBTC,ETHBUSD,ETHBTC
401.50000000,0.00871900,0.12080000,46044.10000000,0.23740000,0.00000516,3324.51000000,0.07220000
398.00000000,0.00869600,0.12090000,45773.85000000,0.23540000,0.00000514,3294.57000000,0.07197000
402.90000000,0.00867300,0.12070000,46455.00000000,0.23840000,0.00000513,3340.15000000,0.07191200
403.20000000,0.00866000,0.12020000,46540.42000000,0.23890000,0.00000513,3352.20000000,0.07202900
403.30000000,0.00867700,0.12040000,46490.86000000,0.23860000,0.00000514,3351.78000000,0.07208800
402.70000000,0.00864400,0.12020000,46599.98000000,0.23790000,0.00000510,3348.55000000,0.07186400
404.00000000,0.00867200,0.12040000,46607.24000000,0.23830000,0.00000512,3356.16000000,0.07200100
402.50000000,0.00866900,0.12040000,46429.74000000,0.23710000,0.00000510,3340.55000000,0.07194900
401.10000000,0.00866400,0.12040000,46299.99000000,0.23740000,0.00000512,3330.46000000,0.07192600
402.60000000,0.00869500,0.12080000,46297.03000000,0.23880000,0.00000516,3330.01000000,0.07191500
403.80000000,0.00870400,0.12100000,46395.34000000,0.23870000,0.00000514,3337.73000000,0.07193700
404.90000000,0.00869600,0.12110000,46575.98000000,0.23890000,0.00000513,3345.18000000,0.07182900
408.20000000,0.00870900,0.12090000,46868.27000000,0.24000000,0.00000511,3374.04000000,0.07198600
408.90000000,0.00874200,0.12080000,46765.27000000,0.23960000,0.00000512,3387.18000000,0.07244600
408.70000000,0.00875400,0.12080000,46677.32000000,0.24030000,0.00000514,3382.00000000,0.07243800
408.90000000,0.00874600,0.12070000,46757.82000000,0.24090000,0.00000515,3388.79000000,0.07245800
408.00000000,0.00873300,0.12050000,46734.74000000,0.24020000,0.00000514,3384.86000000,0.07243400
407.70000000,0.00872800,0.12060000,46704.68000000,0.24060000,0.00000515,3377.26000000,0.07230600
406.90000000,0.00873200,0.12060000,46609.66000000,0.24020000,0.00000516,3374.71000000,0.07240300
406.90000000,0.00873300,0.12060000,46602.04000000,0.24010000,0.00000516,3372.55000000,0.07236400
406.60000000,0.00873700,0.12070000,46531.34000000,0.23920000,0.00000514,3370.48000000,0.07242600
406.80000000,0.00874300,0.12080000,46523.73000000,0.23900000,0.00000513,3364.46000000,0.07231500
407.50000000,0.00871900,0.12060000,46740.02000000,0.23990000,0.00000513,3379.40000000,0.07232600
407.70000000,0.00872100,0.12050000,46751.92000000,0.23980000,0.00000513,3382.22000000,0.07235200
406.00000000,0.00872200,0.12080000,46555.92000000,0.23850000,0.00000513,3360.61000000,0.07221200
405.10000000,0.00872200,0.12070000,46456.37000000,0.23830000,0.00000512,3357.21000000,0.07226200
404.20000000,0.00871600,0.12090000,46378.77000000,0.23770000,0.00000512,3345.11000000,0.07210900
